Route No.,Bus No.,From,To,Distance (km)
RT271,PB-39-5844,Hoshiarpur,Pathankot,105.4
RT837,PB-94-5522,Moga,Ludhiana,85.1
RT484,PB-70-7748,Hoshiarpur,Moga,123.2
RT710,PB-20-3398,Ludhiana,Ropar,77.0
RT505,PB-62-2606,Ferozepur,Ludhiana,148.4
RT111,PB-32-4849,Jalandhar,Ludhiana,66.0
RT272,PB-22-3338,Mohali,Patiala,61.1
RT601,PB-74-8914,Jalandhar,Ferozepur,122.1
RT986,PB-74-3564,Jalandhar,Pathankot,125.9
RT948,PB-40-8699,Ferozepur,Bathinda,103.3
RT383,PB-65-5743,Amritsar,Pathankot,124.8
RT462,PB-76-5705,Bathinda,Patiala,174.2
RT920,PB-26-8977,Chandigarh,Jalandhar,168.2
RT615,PB-64-8508,Patiala,Mohali,61.8
RT301,PB-59-7718,Bathinda,Hoshiarpur,221.6
RT712,PB-82-7141,Pathankot,Ferozepur,206.4
RT695,PB-34-3378,Mohali,Jalandhar,164.0
RT812,PB-32-9565,Mohali,Pathankot,261.2
RT414,PB-71-1095,Mohali,Jalandhar,150.2
RT316,PB-16-5757,Kapurthala,Ferozepur,113.0
RT732,PB-20-7831,Jalandhar,Moga,82.1
RT532,PB-54-9695,Ludhiana,Ropar,75.3
RT712,PB-70-2972,Ropar,Bathinda,201.4
RT771,PB-64-4421,Amritsar,Ferozepur,102.7
RT571,PB-66-6951,Ferozepur,Mohali,252.4
RT775,PB-88-8469,Ropar,Pathankot,197.9
RT820,PB-53-6928,Jalandhar,Ropar,122.3
RT274,PB-33-8387,Kapurthala,Ferozepur,106.7
RT782,PB-58-5548,Jalandhar,Kapurthala,25.3
RT813,PB-44-5619,Ludhiana,Chandigarh,108.7
RT845,PB-64-1566,Ludhiana,Kapurthala,81.0
RT643,PB-25-7711,Kapurthala,Ropar,151.5
RT821,PB-94-4962,Ludhiana,Ferozepur,136.8
RT108,PB-52-2415,Amritsar,Kapurthala,69.4
RT635,PB-15-8187,Ferozepur,Chandigarh,257.1
RT945,PB-80-4137,Moga,Chandigarh,185.4
RT997,PB-26-7938,Moga,Patiala,152.2
RT864,PB-97-4356,Jalandhar,Kapurthala,22.7
RT568,PB-95-2793,Hoshiarpur,Amritsar,125.2
RT448,PB-36-7986,Ferozepur,Ropar,235.9
RT820,PB-89-4369,Patiala,Pathankot,270.6
RT548,PB-24-7482,Bathinda,Patiala,168.9
RT129,PB-39-1844,Ludhiana,Mohali,104.1
RT868,PB-43-2933,Pathankot,Ropar,206.1
RT379,PB-37-2420,Moga,Amritsar,111.1
RT301,PB-39-9062,Ludhiana,Patiala,94.1
RT789,PB-48-2842,Ludhiana,Patiala,96.6
RT892,PB-31-5785,Bathinda,Hoshiarpur,215.7
RT236,PB-14-8429,Amritsar,Mohali,248.3
RT963,PB-69-1531,Ferozepur,Ludhiana,144.1
RT217,PB-69-5962,Moga,Pathankot,215.5
RT230,PB-72-2812,Bathinda,Moga,87.6
RT447,PB-55-7181,Mohali,Chandigarh,8.5
RT431,PB-46-5280,Moga,Pathankot,204.1
RT577,PB-93-7879,Amritsar,Chandigarh,256.7
RT836,PB-15-5716,Chandigarh,Ludhiana,108.2
RT203,PB-98-2679,Kapurthala,Moga,83.0
RT359,PB-15-6399,Bathinda,Moga,87.3
RT192,PB-66-1066,Hoshiarpur,Ludhiana,82.6
RT879,PB-86-6401,Moga,Amritsar,123.2
RT273,PB-68-7511,Pathankot,Bathinda,282.8
RT114,PB-20-1742,Moga,Patiala,159.2
RT549,PB-64-2614,Hoshiarpur,Amritsar,121.7
RT875,PB-13-5321,Moga,Ropar,150.9
RT553,PB-11-1278,Jalandhar,Mohali,161.1
RT281,PB-97-3439,Mohali,Pathankot,248.6
RT357,PB-78-2348,Mohali,Bathinda,206.5
RT323,PB-55-6683,Ferozepur,Amritsar,94.3
RT306,PB-67-6706,Ludhiana,Jalandhar,63.5
RT415,PB-44-2426,Patiala,Amritsar,248.0
RT258,PB-90-6100,Hoshiarpur,Mohali,144.1
RT523,PB-20-4918,Amritsar,Ropar,224.2
RT231,PB-26-7411,Ludhiana,Jalandhar,62.9
RT675,PB-53-6069,Kapurthala,Ropar,150.2
RT708,PB-20-5380,Amritsar,Bathinda,186.9
RT778,PB-19-4806,Bathinda,Mohali,220.7
RT237,PB-38-5540,Ferozepur,Ludhiana,137.5
RT361,PB-60-8085,Moga,Patiala,147.4
RT457,PB-69-1551,Jalandhar,Moga,84.2
RT922,PB-12-4389,Ferozepur,Pathankot,218.2
RT963,PB-88-8983,Patiala,Hoshiarpur,161.8
RT237,PB-58-6520,Patiala,Ludhiana,102.1
RT745,PB-90-4129,Kapurthala,Jalandhar,23.4
RT913,PB-25-1934,Ludhiana,Ferozepur,151.4
RT670,PB-34-1461,Ferozepur,Mohali,235.2
RT516,PB-35-2471,Moga,Amritsar,119.7
RT230,PB-33-5216,Bathinda,Amritsar,199.9
RT620,PB-64-4868,Moga,Hoshiarpur,129.5
RT641,PB-87-3219,Ludhiana,Hoshiarpur,91.1
RT280,PB-15-9777,Chandigarh,Jalandhar,164.0
RT344,PB-15-3820,Chandigarh,Ferozepur,242.1
RT513,PB-21-1886,Mohali,Kapurthala,186.4
RT171,PB-62-4461,Chandigarh,Moga,194.9
RT463,PB-33-7693,Pathankot,Mohali,247.4
RT804,PB-84-1371,Moga,Mohali,174.4
RT493,PB-15-4142,Jalandhar,Pathankot,135.5
RT191,PB-92-9423,Pathankot,Chandigarh,257.5
RT591,PB-47-3574,Pathankot,Jalandhar,133.0
RT439,PB-37-4104,Moga,Pathankot,214.7
RT611,PB-63-4866,Moga,Jalandhar,85.3
RT569,PB-21-5430,Pathankot,Kapurthala,123.2
RT604,PB-32-6887,Kapurthala,Ludhiana,81.7
RT743,PB-29-8706,Ropar,Bathinda,214.5
RT884,PB-63-9503,Moga,Amritsar,111.4
RT714,PB-22-8628,Pathankot,Moga,196.2
RT614,PB-50-7804,Moga,Ferozepur,66.2
RT595,PB-38-5572,Mohali,Ferozepur,245.4
RT995,PB-71-4514,Bathinda,Chandigarh,213.8
RT893,PB-56-6725,Chandigarh,Patiala,73.9
RT551,PB-27-9958,Amritsar,Pathankot,120.5
RT396,PB-53-6484,Amritsar,Ferozepur,103.6
RT867,PB-83-5192,Mohali,Amritsar,245.9
RT896,PB-83-2049,Ropar,Amritsar,225.3
RT210,PB-79-3016,Hoshiarpur,Ludhiana,86.9
RT990,PB-20-9498,Jalandhar,Amritsar,94.1
RT890,PB-92-9663,Ferozepur,Ludhiana,144.0
RT309,PB-32-7412,Jalandhar,Amritsar,89.5
RT107,PB-18-7043,Bathinda,Ropar,206.7
RT103,PB-16-9422,Hoshiarpur,Chandigarh,155.3
RT845,PB-43-3242,Ropar,Mohali,43.7
RT843,PB-28-2576,Ropar,Pathankot,216.8
RT291,PB-69-2396,Ropar,Bathinda,208.9
RT364,PB-44-4971,Kapurthala,Jalandhar,23.5
RT461,PB-31-4305,Pathankot,Chandigarh,245.1
RT671,PB-27-1425,Kapurthala,Moga,83.5
RT156,PB-65-1412,Jalandhar,Kapurthala,22.6
RT891,PB-62-3552,Chandigarh,Ropar,44.4
RT244,PB-59-4217,Mohali,Patiala,65.5
RT212,PB-23-2252,Kapurthala,Patiala,186.8
RT186,PB-66-1632,Moga,Chandigarh,192.0
RT497,PB-81-9412,Bathinda,Ludhiana,145.9
RT478,PB-10-3849,Bathinda,Mohali,213.5
RT725,PB-90-9116,Ropar,Kapurthala,136.2
RT388,PB-43-5311,Ferozepur,Chandigarh,269.9
RT690,PB-29-3331,Chandigarh,Hoshiarpur,154.5
RT545,PB-52-2797,Hoshiarpur,Ludhiana,86.3
RT136,PB-62-3798,Hoshiarpur,Amritsar,124.9
RT788,PB-52-7414,Ferozepur,Ludhiana,137.1
RT725,PB-12-1816,Bathinda,Ferozepur,110.8
RT838,PB-14-6640,Hoshiarpur,Ludhiana,90.2
RT817,PB-63-7090,Amritsar,Kapurthala,66.0
RT241,PB-29-2875,Pathankot,Hoshiarpur,111.5
RT730,PB-19-8874,Kapurthala,Pathankot,126.9
RT832,PB-78-6574,Ropar,Jalandhar,117.4
RT846,PB-33-7171,Amritsar,Hoshiarpur,123.3
RT535,PB-56-8102,Bathinda,Hoshiarpur,218.4
RT465,PB-21-2293,Amritsar,Patiala,240.7
RT670,PB-80-7298,Pathankot,Ropar,202.9
RT681,PB-61-6828,Ludhiana,Amritsar,159.1
RT257,PB-90-1294,Patiala,Moga,163.8
RT907,PB-70-4880,Pathankot,Patiala,260.2
RT336,PB-70-8861,Hoshiarpur,Ludhiana,90.8
RT437,PB-30-2525,Pathankot,Ferozepur,211.8
RT193,PB-98-7290,Moga,Hoshiarpur,127.0
RT613,PB-80-6514,Patiala,Ferozepur,225.4
RT425,PB-57-9672,Patiala,Pathankot,289.9
RT711,PB-99-2499,Ropar,Jalandhar,122.6
RT109,PB-51-7759,Jalandhar,Ferozepur,117.4
RT971,PB-93-1120,Moga,Bathinda,87.1
RT504,PB-78-9731,Patiala,Ropar,90.1
RT599,PB-89-2577,Amritsar,Kapurthala,70.8
RT714,PB-69-7604,Ropar,Mohali,43.5
RT359,PB-83-7579,Jalandhar,Hoshiarpur,50.7
RT247,PB-57-5480,Moga,Hoshiarpur,133.9
RT667,PB-17-5983,Ropar,Amritsar,204.9
RT939,PB-93-5067,Jalandhar,Amritsar,95.5
RT415,PB-40-4553,Amritsar,Kapurthala,64.4
RT117,PB-68-7090,Moga,Kapurthala,80.4
RT494,PB-17-5842,Kapurthala,Bathinda,174.5
RT487,PB-39-6202,Ferozepur,Pathankot,205.5
RT698,PB-23-2984,Moga,Bathinda,87.0
RT854,PB-77-3446,Ludhiana,Chandigarh,110.4
RT291,PB-82-7103,Kapurthala,Ropar,152.2
RT429,PB-85-3858,Bathinda,Ferozepur,108.6
RT712,PB-62-6441,Bathinda,Patiala,170.9
RT620,PB-31-7307,Patiala,Hoshiarpur,170.7
RT942,PB-99-9028,Pathankot,Ropar,195.2
RT131,PB-35-5705,Moga,Ludhiana,80.5
RT240,PB-92-8395,Kapurthala,Chandigarh,184.1
RT260,PB-29-2555,Ropar,Mohali,44.1
RT743,PB-65-4957,Bathinda,Moga,87.8
RT200,PB-46-6821,Amritsar,Patiala,253.1
RT758,PB-31-6799,Ropar,Ludhiana,76.6
RT573,PB-61-1859,Kapurthala,Moga,80.3
RT411,PB-52-6066,Patiala,Moga,162.5
RT233,PB-10-8596,Jalandhar,Ferozepur,128.1
RT730,PB-11-1538,Amritsar,Patiala,248.2
RT295,PB-70-3011,Moga,Hoshiarpur,135.8
RT895,PB-42-6973,Ropar,Ludhiana,80.7
RT859,PB-61-4529,Patiala,Ferozepur,217.1
RT774,PB-32-5970,Ferozepur,Bathinda,102.7
RT356,PB-50-2663,Ludhiana,Amritsar,146.0
RT518,PB-57-5272,Chandigarh,Ludhiana,104.8
RT470,PB-97-7137,Amritsar,Chandigarh,267.1
RT769,PB-47-4658,Hoshiarpur,Ropar,108.0
RT327,PB-93-3497,Ropar,Bathinda,219.6
RT737,PB-83-7188,Pathankot,Moga,208.8
RT713,PB-44-9572,Ludhiana,Hoshiarpur,87.7
RT766,PB-37-2798,Bathinda,Chandigarh,233.1
RT957,PB-37-2674,Mohali,Moga,178.7
RT737,PB-53-5097,Ludhiana,Jalandhar,64.8
RT257,PB-10-3265,Amritsar,Ludhiana,151.2
RT730,PB-34-2675,Kapurthala,Patiala,173.5
RT909,PB-79-7871,Jalandhar,Ferozepur,125.0
RT437,PB-33-8116,Patiala,Jalandhar,155.4
RT458,PB-63-8893,Pathankot,Moga,216.8
RT780,PB-75-5230,Chandigarh,Kapurthala,186.8
RT814,PB-59-5868,Amritsar,Ludhiana,148.3
RT990,PB-82-9664,Chandigarh,Ropar,43.3
RT830,PB-53-1308,Ropar,Moga,159.0
RT804,PB-56-2559,Amritsar,Bathinda,202.5
RT980,PB-47-6865,Ropar,Moga,160.8
RT982,PB-43-8726,Moga,Jalandhar,84.6
RT220,PB-58-3175,Ropar,Hoshiarpur,99.0
RT123,PB-71-5611,Pathankot,Mohali,238.2
RT269,PB-21-5831,Jalandhar,Ludhiana,66.2
RT220,PB-31-1085,Amritsar,Chandigarh,261.1
RT471,PB-68-4318,Bathinda,Patiala,178.4
RT652,PB-46-4043,Jalandhar,Mohali,157.7
RT836,PB-69-3196,Jalandhar,Hoshiarpur,45.4
RT240,PB-39-5871,Ludhiana,Bathinda,146.4
RT284,PB-81-7734,Ropar,Bathinda,200.6
RT702,PB-42-3744,Kapurthala,Patiala,181.9
RT544,PB-41-6643,Ludhiana,Bathinda,146.2
RT389,PB-10-7885,Mohali,Moga,191.7
RT726,PB-64-8065,Bathinda,Ferozepur,99.9
RT683,PB-58-2720,Bathinda,Pathankot,306.0
RT525,PB-53-5945,Ludhiana,Mohali,102.8
RT396,PB-54-5377,Ludhiana,Mohali,104.3
RT257,PB-94-4975,Ludhiana,Ferozepur,145.7
RT232,PB-61-8028,Chandigarh,Amritsar,244.2
RT451,PB-69-7028,Ludhiana,Ropar,79.2
RT569,PB-11-7783,Patiala,Amritsar,234.8
RT269,PB-86-3491,Moga,Mohali,178.6
RT489,PB-14-7063,Hoshiarpur,Kapurthala,63.5
RT917,PB-39-4191,Bathinda,Pathankot,285.3
RT710,PB-43-1114,Mohali,Pathankot,258.4
RT144,PB-13-8428,Mohali,Pathankot,253.2
RT442,PB-60-8564,Ropar,Mohali,42.8
RT355,PB-12-5599,Hoshiarpur,Ferozepur,168.7
RT389,PB-44-8969,Ropar,Patiala,84.2
RT523,PB-49-4254,Patiala,Moga,153.1
RT466,PB-42-2540,Patiala,Hoshiarpur,167.2
RT916,PB-52-7446,Ferozepur,Ropar,235.9
RT415,PB-93-8239,Chandigarh,Patiala,68.3
RT168,PB-33-1112,Ropar,Mohali,40.9
RT138,PB-36-2631,Bathinda,Kapurthala,169.4
RT190,PB-61-8104,Kapurthala,Pathankot,133.1
RT103,PB-50-4929,Bathinda,Amritsar,199.4
RT199,PB-77-6099,Moga,Mohali,173.9
RT241,PB-50-5122,Ferozepur,Pathankot,216.9
RT275,PB-49-5807,Hoshiarpur,Ropar,109.9
RT650,PB-35-3423,Kapurthala,Pathankot,125.9
RT184,PB-43-1631,Ropar,Hoshiarpur,105.6
RT285,PB-17-6214,Ropar,Ludhiana,78.1
RT771,PB-36-5537,Amritsar,Patiala,251.9
RT914,PB-48-4265,Ferozepur,Bathinda,103.1
RT893,PB-41-9797,Ludhiana,Jalandhar,70.5
RT917,PB-92-9329,Hoshiarpur,Ludhiana,83.0
RT982,PB-79-3130,Mohali,Chandigarh,7.9
RT535,PB-80-6794,Pathankot,Ferozepur,214.8
RT479,PB-66-2238,Ludhiana,Jalandhar,63.2
RT645,PB-50-2671,Hoshiarpur,Ludhiana,90.2
RT645,PB-37-6496,Amritsar,Chandigarh,250.3
RT893,PB-64-4876,Moga,Bathinda,84.3
RT150,PB-59-3532,Kapurthala,Patiala,190.0
RT616,PB-98-6752,Moga,Ferozepur,64.4
RT323,PB-97-3894,Pathankot,Ferozepur,206.8
RT979,PB-38-8906,Ludhiana,Ferozepur,142.6
RT645,PB-11-7972,Jalandhar,Ferozepur,129.0
RT603,PB-94-2984,Kapurthala,Bathinda,163.2
RT149,PB-90-4926,Ropar,Hoshiarpur,98.6
RT923,PB-67-6371,Bathinda,Moga,90.1
RT179,PB-20-3710,Chandigarh,Amritsar,255.6
RT261,PB-81-3164,Bathinda,Jalandhar,178.4
RT533,PB-71-1115,Chandigarh,Jalandhar,170.5
RT559,PB-96-5753,Patiala,Ludhiana,99.9
RT511,PB-35-4170,Ferozepur,Mohali,260.1
RT270,PB-82-2678,Ferozepur,Hoshiarpur,178.6
RT781,PB-89-6732,Ferozepur,Moga,63.7
RT335,PB-41-4027,Moga,Amritsar,114.8
RT221,PB-62-6028,Ludhiana,Ropar,76.5
RT682,PB-84-8389,Mohali,Pathankot,252.4
RT347,PB-82-8116,Chandigarh,Patiala,72.5
RT969,PB-40-7319,Ludhiana,Patiala,100.0
RT452,PB-48-4828,Bathinda,Jalandhar,171.7
RT723,PB-61-7354,Kapurthala,Ludhiana,84.8
RT120,PB-88-6365,Bathinda,Ferozepur,101.6
RT260,PB-84-9485,Ferozepur,Ropar,219.6
RT682,PB-33-9694,Mohali,Kapurthala,185.8
RT122,PB-47-4934,Ferozepur,Moga,68.6
RT737,PB-20-1687,Mohali,Ferozepur,259.2
RT240,PB-70-3316,Ropar,Kapurthala,142.6
RT182,PB-69-4009,Moga,Bathinda,88.0
RT982,PB-69-5244,Ludhiana,Ropar,76.6
RT362,PB-64-4705,Pathankot,Ludhiana,182.9
RT418,PB-31-3569,Mohali,Ropar,43.4
RT618,PB-36-8366,Bathinda,Moga,87.6
RT412,PB-66-6573,Moga,Ludhiana,80.0
RT329,PB-20-5943,Bathinda,Amritsar,195.6
RT267,PB-29-5849,Chandigarh,Amritsar,262.2
RT753,PB-81-7753,Bathinda,Kapurthala,163.8
RT131,PB-24-2205,Bathinda,Patiala,171.7
RT101,PB-40-8902,Jalandhar,Mohali,165.9
RT740,PB-80-9833,Mohali,Hoshiarpur,153.1
RT848,PB-31-6235,Patiala,Ferozepur,215.7
RT116,PB-74-9095,Bathinda,Chandigarh,238.8
RT676,PB-70-1452,Ropar,Ferozepur,210.2
RT363,PB-72-7512,Hoshiarpur,Mohali,149.4
RT464,PB-95-2283,Jalandhar,Chandigarh,160.2
RT150,PB-81-1000,Moga,Patiala,164.8
RT729,PB-99-5651,Ludhiana,Patiala,104.1
RT553,PB-61-2385,Chandigarh,Kapurthala,195.9
RT654,PB-15-4703,Amritsar,Jalandhar,94.0
RT974,PB-33-5758,Chandigarh,Ferozepur,243.3
RT161,PB-63-6346,Hoshiarpur,Amritsar,122.2
RT477,PB-74-3977,Moga,Amritsar,119.6
RT196,PB-84-2576,Ropar,Ferozepur,236.1
RT523,PB-62-3232,Moga,Amritsar,109.8
RT588,PB-39-2263,Bathinda,Amritsar,189.0
RT308,PB-89-8548,Moga,Patiala,165.2
RT475,PB-71-8263,Chandigarh,Ludhiana,110.3
RT755,PB-35-6536,Patiala,Ludhiana,99.6
RT112,PB-62-4026,Kapurthala,Hoshiarpur,66.7
RT570,PB-44-3580,Amritsar,Mohali,257.1
RT640,PB-74-2057,Amritsar,Ferozepur,95.6
RT275,PB-12-5426,Chandigarh,Moga,192.8
RT821,PB-53-6434,Chandigarh,Jalandhar,163.2
RT513,PB-13-7650,Ferozepur,Pathankot,230.6
RT340,PB-87-1350,Bathinda,Hoshiarpur,224.9
RT148,PB-21-1660,Pathankot,Ropar,211.3
RT371,PB-76-6859,Hoshiarpur,Chandigarh,149.8
RT777,PB-44-9145,Hoshiarpur,Amritsar,118.4
RT271,PB-82-5513,Bathinda,Ropar,218.3
RT106,PB-89-4921,Ropar,Jalandhar,124.6
RT449,PB-13-9176,Bathinda,Jalandhar,172.3
RT592,PB-64-5718,Ropar,Amritsar,199.8
RT330,PB-36-1774,Bathinda,Ferozepur,101.7
RT448,PB-53-8162,Mohali,Pathankot,233.2
RT537,PB-29-3547,Ferozepur,Amritsar,94.3
RT329,PB-28-1528,Kapurthala,Mohali,184.6
RT632,PB-87-3547,Hoshiarpur,Kapurthala,68.1
RT124,PB-34-1856,Amritsar,Moga,110.9
RT840,PB-26-8314,Jalandhar,Bathinda,163.9
RT790,PB-75-5874,Amritsar,Ropar,199.9
RT463,PB-51-6278,Bathinda,Pathankot,284.3
RT878,PB-34-4646,Patiala,Amritsar,242.7
RT529,PB-15-6461,Mohali,Amritsar,247.1
RT947,PB-65-9495,Patiala,Jalandhar,173.6
RT187,PB-12-5976,Hoshiarpur,Mohali,150.5
RT302,PB-15-5808,Bathinda,Patiala,168.4
RT212,PB-68-1161,Patiala,Ferozepur,219.3
RT656,PB-58-8418,Kapurthala,Moga,81.4
RT356,PB-44-2383,Bathinda,Kapurthala,160.4
RT971,PB-81-1625,Moga,Mohali,180.0
RT616,PB-77-7247,Patiala,Mohali,64.8
RT697,PB-25-3047,Ludhiana,Mohali,101.1
RT944,PB-32-7479,Mohali,Ludhiana,106.0
RT234,PB-38-5179,Mohali,Amritsar,241.3
RT844,PB-86-4109,Ferozepur,Chandigarh,244.7
RT700,PB-88-3228,Ropar,Mohali,42.0
RT440,PB-35-8529,Moga,Amritsar,114.5
RT112,PB-76-7683,Chandigarh,Pathankot,252.4
RT480,PB-17-6836,Moga,Pathankot,198.7
RT223,PB-72-7600,Bathinda,Jalandhar,165.1
RT457,PB-51-9478,Patiala,Hoshiarpur,173.3
RT678,PB-42-8618,Bathinda,Pathankot,277.0
RT742,PB-63-2446,Amritsar,Patiala,251.3
RT983,PB-78-4136,Bathinda,Hoshiarpur,220.4
RT695,PB-52-9825,Bathinda,Mohali,225.5
RT991,PB-22-2571,Pathankot,Bathinda,292.6
RT179,PB-99-4291,Jalandhar,Pathankot,131.6
RT531,PB-95-9961,Mohali,Ferozepur,254.0
RT540,PB-94-7485,Ferozepur,Hoshiarpur,162.4
RT880,PB-78-4606,Chandigarh,Mohali,8.2
RT990,PB-91-5177,Ferozepur,Jalandhar,119.9
RT638,PB-71-5466,Pathankot,Mohali,260.4
RT739,PB-15-4500,Amritsar,Hoshiarpur,121.4
RT751,PB-30-8142,Ropar,Kapurthala,150.0
RT955,PB-88-1207,Jalandhar,Hoshiarpur,47.3
RT735,PB-86-6232,Patiala,Ropar,89.4
RT562,PB-73-3831,Ludhiana,Pathankot,184.1
RT716,PB-63-8355,Bathinda,Mohali,231.2
RT818,PB-12-2750,Ludhiana,Patiala,92.8
RT491,PB-43-7882,Jalandhar,Ludhiana,64.4
RT449,PB-80-4740,Bathinda,Ropar,203.9
RT136,PB-56-4790,Bathinda,Ferozepur,104.1
RT732,PB-97-8597,Amritsar,Chandigarh,240.3
RT372,PB-90-6911,Amritsar,Kapurthala,66.5
RT916,PB-59-7922,Moga,Patiala,155.7
RT448,PB-76-5996,Moga,Jalandhar,81.3
RT414,PB-13-6180,Ropar,Ludhiana,81.2
RT635,PB-91-5077,Hoshiarpur,Bathinda,217.0
RT199,PB-65-9725,Ferozepur,Pathankot,224.0
RT146,PB-47-8711,Ferozepur,Pathankot,220.3
RT478,PB-79-2221,Pathankot,Patiala,271.4
RT517,PB-97-9430,Ropar,Pathankot,215.3
RT288,PB-31-9027,Mohali,Kapurthala,180.9
RT103,PB-39-4446,Ludhiana,Mohali,110.3
RT593,PB-46-4099,Kapurthala,Ropar,139.4
RT619,PB-86-9279,Amritsar,Ferozepur,94.6
RT585,PB-58-3494,Bathinda,Ferozepur,106.2
RT811,PB-39-4155,Ropar,Patiala,88.0
RT527,PB-56-8306,Ferozepur,Moga,66.5
RT476,PB-54-9373,Amritsar,Moga,117.9
RT635,PB-61-7990,Mohali,Kapurthala,180.8
RT463,PB-95-4247,Mohali,Bathinda,207.1
RT666,PB-80-7309,Bathinda,Ludhiana,134.5
RT367,PB-47-2612,Ropar,Ferozepur,211.3
RT880,PB-23-3653,Bathinda,Patiala,167.1
RT900,PB-45-4547,Ropar,Moga,161.2
RT449,PB-29-9853,Hoshiarpur,Amritsar,123.9
RT614,PB-72-7475,Kapurthala,Ropar,145.3
RT917,PB-89-5005,Moga,Bathinda,84.6
RT142,PB-78-7565,Patiala,Mohali,60.4
RT976,PB-57-9547,Kapurthala,Chandigarh,188.8
RT404,PB-24-4170,Chandigarh,Pathankot,253.9
RT199,PB-56-5125,Bathinda,Hoshiarpur,202.9
RT766,PB-41-9072,Patiala,Kapurthala,184.8
RT476,PB-83-2742,Pathankot,Kapurthala,132.5
RT555,PB-84-9327,Jalandhar,Ludhiana,69.9
RT448,PB-19-8286,Ludhiana,Chandigarh,106.5
RT998,PB-50-9178,Ropar,Pathankot,199.3
RT170,PB-92-3003,Ferozepur,Ludhiana,152.4
RT960,PB-77-1018,Kapurthala,Mohali,172.6
RT759,PB-92-6561,Mohali,Kapurthala,183.0
RT472,PB-67-8022,Amritsar,Pathankot,122.1
RT117,PB-64-6785,Patiala,Moga,163.8
RT199,PB-34-8739,Ferozepur,Jalandhar,120.9
RT422,PB-35-6408,Chandigarh,Jalandhar,155.5
RT782,PB-64-1099,Chandigarh,Amritsar,242.7
RT805,PB-60-7506,Ludhiana,Pathankot,192.3
RT468,PB-67-2960,Bathinda,Patiala,180.5
RT250,PB-78-8350,Pathankot,Jalandhar,123.7
RT602,PB-81-2533,Ropar,Moga,163.0
RT633,PB-10-2967,Ropar,Amritsar,208.0
RT325,PB-33-8941,Jalandhar,Mohali,162.8
RT665,PB-34-6812,Chandigarh,Amritsar,261.5
RT145,PB-95-9714,Hoshiarpur,Mohali,155.6
RT304,PB-57-1729,Pathankot,Chandigarh,235.8
RT288,PB-67-5720,Bathinda,Ludhiana,138.5
RT779,PB-20-8298,Kapurthala,Jalandhar,24.8
RT230,PB-44-1267,Ropar,Pathankot,202.4
RT188,PB-79-2036,Pathankot,Ropar,210.1
RT204,PB-87-4322,Kapurthala,Ropar,150.1
RT955,PB-18-2445,Mohali,Pathankot,260.1
RT863,PB-31-2336,Jalandhar,Kapurthala,23.8
RT676,PB-38-2648,Bathinda,Amritsar,186.3
RT763,PB-71-9848,Moga,Ludhiana,82.7
RT759,PB-11-6206,Jalandhar,Kapurthala,23.5
RT925,PB-74-5543,Kapurthala,Chandigarh,178.7
RT187,PB-21-6639,Mohali,Ferozepur,240.9
RT276,PB-18-6549,Ropar,Chandigarh,41.9
RT346,PB-38-7240,Ferozepur,Jalandhar,120.7
RT211,PB-45-3361,Chandigarh,Amritsar,246.7
RT700,PB-45-5736,Pathankot,Bathinda,305.4
RT412,PB-89-6586,Ludhiana,Mohali,104.1
RT329,PB-44-7414,Bathinda,Hoshiarpur,218.3
RT625,PB-72-2730,Pathankot,Chandigarh,243.7
RT853,PB-99-4195,Pathankot,Patiala,276.0
RT634,PB-95-8943,Bathinda,Ropar,215.3
RT839,PB-40-5392,Chandigarh,Mohali,8.2
RT750,PB-74-3408,Ferozepur,Kapurthala,110.1
RT148,PB-63-7106,Mohali,Amritsar,241.5
RT252,PB-58-9265,Bathinda,Amritsar,187.6
RT135,PB-48-3533,Ludhiana,Kapurthala,86.6
RT359,PB-42-5975,Ludhiana,Mohali,106.4
RT889,PB-16-4272,Chandigarh,Patiala,71.0
RT774,PB-91-4360,Moga,Chandigarh,186.2
RT471,PB-35-6654,Amritsar,Kapurthala,70.3
RT748,PB-22-2143,Ferozepur,Patiala,233.6
RT818,PB-40-9709,Chandigarh,Amritsar,246.6
RT417,PB-62-7396,Ferozepur,Chandigarh,260.7
RT318,PB-75-1725,Patiala,Chandigarh,72.9
RT580,PB-16-5071,Hoshiarpur,Chandigarh,156.8
RT487,PB-23-4597,Ludhiana,Ropar,82.4
RT735,PB-61-9206,Ludhiana,Jalandhar,65.7
RT303,PB-40-9688,Patiala,Bathinda,171.1
RT370,PB-79-5279,Ferozepur,Pathankot,210.0
RT606,PB-89-5729,Ludhiana,Chandigarh,104.9
RT434,PB-74-6067,Bathinda,Ropar,223.2
RT324,PB-28-3295,Pathankot,Hoshiarpur,105.9
RT394,PB-52-8208,Ludhiana,Moga,86.2
RT907,PB-65-9751,Ferozepur,Bathinda,109.2
RT130,PB-88-1526,Amritsar,Jalandhar,96.9
RT717,PB-87-1564,Chandigarh,Moga,195.1
RT946,PB-66-4047,Amritsar,Pathankot,118.3
RT468,PB-70-4178,Bathinda,Mohali,216.5
RT407,PB-89-2291,Ferozepur,Ludhiana,139.8
RT242,PB-52-2992,Chandigarh,Mohali,7.8
RT943,PB-75-6687,Kapurthala,Moga,76.7
RT470,PB-63-4936,Kapurthala,Patiala,178.7
RT737,PB-45-4039,Ferozepur,Jalandhar,125.6
